id,name,desc,dragon_images
190,Nutty villain,"A vicious dragon who likes to pick people out. It usually picks people out through pranks or hunts prey through traps. Unlike her scary appearance, she has a very bright and positive personality, which is gaining popularity with many dragon tamers recently.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20160607155143268910258.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606071551431569539195.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606071551432112291811.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606071551441940376689.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606071551501540171008.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201606071551141340871526.']"
191,Glacier,"In the beginning, a frozen dragon following the guardian of water, Ice Dragon. While the Ice Dragon left his place to prevent Dark Nyx, he did his best to protect innocent lives against evil monsters, and has the power of terrifying freezing.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/glacier_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/glacier_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/glacier_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/glacier_3.png']"
192,Mneia,"A dragon that collects memories floating in the world. It is a dragon that collects and records the memories and time floating in the world. Unlike its cute appearance, it possesses very knowledgeable knowledge. The blue flame flashing on the tail has the power to erase the memory of the evil one. I have.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/mneia_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/mneia_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/mneia_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/mneia_3.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20191008121258723679886.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201910081212591897218057.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20191008121259180631195.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20191008121259231959420.png']"
193,Knox O,"The guardian dragon of the goddess of time, Kinu. Knox symbolizes the night of the two axes of time, and it is said that he defeated the evil Kades demons by using a pitch-black roar with transcendent power at the command of the goddess of time, Kinu. ","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/nox_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/nox_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/nox_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/nox_3.png']"
194,Ilios O,"The guardian dragon of the Goddess of Time, Kinu. Ilios is said to symbolize the mid-morning of the two axes of time, and is said to have defeated the evil Kades demons by using the anger of the holy priest with transcendent power according to the command of Kinu, the goddess of time. .","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ilios_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ilios_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ilios_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ilios_3.png']"
195,Knox S,"The guardian dragon of the goddess of time, Kinu. Knox symbolizes the night among the two axes of time, and it is said that he defeated the evil Kades demons by using a pitch-black roar with transcendent power at the command of the goddess of time, Kinu. [Available: Card Code, Premium Draw]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/nox_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/nox_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/nox_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/nox_3.png']"
196,Ilios S,"The guardian dragon of the Goddess of Time, Kinu. Ilios is said to symbolize the mid-morning of the two axes of time, and is said to have defeated the evil Kadesh monsters by using the anger of the holy priest with transcendent power according to the command of Kinu, the goddess of time. [Available: Card Code, Premium Draw]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ilios_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ilios_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ilios_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ilios_3.png']"
197,Corner tooth,"A quiet dragon living in the depths of the sea. Due to its unique appearance, it is gaining a strange popularity among many dragon tamers. Of course, the cause of the popularity will be a factor of curiosity.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/coner_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/coner_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/coner_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/coner_3.png']"
198,Swallow,A dragon with excellent hunting ability. Swallow is a dragon with excellent hunting skills. Swallow uses its wings and tail to capture prey. He is a perfect hunter who does not know the word failure.,"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/swallow_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/swallow_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/swallow_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/swallow_3.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20180205105617365951280.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20190624121442612897141.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201802051056182137790621.', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20190624121442418945868.']"
199,i-gon,"I-gon belongs to the same kind of mechanic dragon as metal magnet. It is popular among many dragon tamers because of its cool appearance, but it is very weak to water, so it needs more careful management.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/Igon_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/Igon_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/Igon_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/Igon_3.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20180323105214846843571.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201803231052151816298242.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201803231052151318960349.png']"
200,Bloodinate,"Once you start a fight, a terrifying dragon that doesn't stop until you destroy everything that moves. The blood catastrophe, which is an organ, boasts tremendous power that burns away anything.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/bloodyneith_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/bloodyneith_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/bloodyneith_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/bloodyneith_3.png']"
201,Peace Dragon,"Dragon created by a mysterious combination of a peace-loving scientist. Gentle and easy to get along with people, it is popular with many people along with Sun Dong-gon. It seems to prove the worth of its name as it is mainly used in welfare facilities.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/piece_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/piece_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/piece_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/piece_3.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20180816125841149186673.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201908121211511816825229.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201808161258411239828412.', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20180816125842265930862.']"
202,Galaxy,A space dragon came from a distant galaxy. The star is adorned on the forehead and has a beautiful body embroidered with curves. It is very popular with many dragon tamers recently because he is curious and cute.,"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/galaxy_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/galaxy_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/galaxy_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/galaxy_3.png']"
203,Paper Dragon,"A strange dragon made only of paper. It is popular with children for its colorful color and strange appearance. It is a little bit ferocious, so it is good to pay attention to the development.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/paper_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/paper_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/paper_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/paper_3.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201509081426011578176881.png']"
204,Hypergon,"Starry dragon with the power of stars. If one of the beautiful clusters of stars that light up the night sky moves, it is likely this dragon. Hypergon uses the power of the stars freely, and at night when there are many stars, it is more likely to be a starlight dragon. I can exert power.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/hyperigon_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/hyperigon_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/hyperigon_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/hyperigon_3.png']"
205,Morica Dragon,"The guide dragon that leads the dead. Many people misunderstand it as a dark dragon due to its dark color, but in reality, it has the character of a guardian who guides or catches the dead into the underworld. The horned fire on the tail exerts powerful power against the evil and the dead. do.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20150330172235423868943.PNG', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201503301722351501054650.PNG', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20150330172235819961578.PNG', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201503301722361724364281.PNG', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20170929151031433752983.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201709291510321753077910.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201709291510321377833628.png']"
206,Vagabond Dragon,A dragon that always wanders around the world. He likes to train himself by fighting opponents stronger than himself through travel. Vagabond's battle ability after a long battle is very good.,"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vagabond_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vagabond_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vagabond_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vagabond_3.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/2015090814262860630221.png']"
207,Clockwork dragon,"Dragon with a strange appearance. There is a rumor that the movement will be 3 times faster if you wind it up on the back, but it is a story of stupid traders, so don't trust it. I love to oil the body.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/clockwork_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/clockwork_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/clockwork_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/clockwork_3.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20200910182659558669766.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/202009101826591629055152.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20200910182659533574582.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20200910182700157689455.png']"
208,Splendor Dragon,"Dragon with a colorful color. Beautiful feathers make the opponent off guard, and then pour a terrifying attack. As a dragon of small size, the switch between attack and defense is quick.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/splender_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/splender_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/splender_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/splender_3.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201509081427101366084743.png']"
209,Black Tier Dragon,"Dragon with a flame of doom that does not fade. It has a strong fighting power that can be counted among the dark dragons. In particular, the powerful dark blue flame that rises through the ley has a terrifying power that destroys even the will of the enemy.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/blacktear_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/blacktear_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/blacktear_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/blacktear_3.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/202010291737511245094907.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20201029173751806316200.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20201029173751975449844.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20201029173752232572944.png']"
210,Black Armor Dragon,"The knight dragon of a silent and terrifying appearance. It looks fierce and violent on the outside, but it is known that he is risking his own life in order to protect the owner from danger.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/blackarmor_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/blackarmor_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/blackarmor_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/blackarmor_3.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20201029174844844209440.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/202010291748451102963352.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/202010291748451744729997.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20201029174845786135527.png']"
211,Orange Leaf Dragon,"A mysterious dragon with a good scent. It is popular as a pet because it has a subtle orange scent. Recently, the capture of hunters has intensified and flees deep into the forest to avoid human touch.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20150330172005124632769.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20150330172005811523834.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20150330172005975716690.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20150330172006781815273.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201503301726341631199365.png']"
212,Pink Bell Dragon,"The dragon was called the forest fairy. In the past, he was called a fairy for his beautiful appearance and cute appearance, but he was hated by people for his nasty jealousy and severe jokes.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201503301720511609693677.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201503301720511392814574.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/2015033017205271020444.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201503301720521917139596.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20150330172624709541649.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201908121208531692737284.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20190812120854894937586.', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201908121208541546503029.']"
213,Kuroi Dragon,"The dragon was called the forest fairy. In the past, he was called a fairy for his beautiful appearance and cute appearance, but he was hated by people for his nasty jealousy and severe jokes.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20150330172114485687461.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201503301721151125583181.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20150330172115513394472.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20150330172115382338603.png']"
214,Forest Dragon,"The dragon of the forest is said to protect the forest. It is said that the place where he stays is always rich in delicious fruits and forests. The nature of protecting the forest is excessive, and there are many cases of showing a violent appearance to those who destroy the forest.","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20150330172205177626860.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20150330172205338148912.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/20150330172205447867020.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/201503301722061980928871.png']"
215,Gigantis,"Gudra's guardian dragon, the god of space. He fought a deacon that brought five plagues following the evil god Cades and defended the right side of Gudra. [Available: card code, premium draw]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/gigantis_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/gigantis_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/gigantis_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/gigantis_3.png']"
216,Demonio,"Gudra's guardian dragon, the god of space. He fought a deacon that brought five plagues following the evil god Cades and defended the left side of Gudra. [Available: card code, premium draw]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/demonio_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/demonio_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/demonio_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/demonio_3.png']"
217,Guess Dragon C,"Mysterious dragon with crystal wings. It looks similar to the Divine Stone, which is called God's Mineral, but its ability is different. You can sometimes get precious crystals when molting. [Available: Draw Mystery]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_3.png']"
218,Vera Dragon C,"A dragon infused with the energy of ancient evil. The black horns that grew intimidatingly have the power to calm the magic power. If you look carefully and nurture it, you will get a big anger, so you will get your mind upright!","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_3.png']"
219,Dyona C,"A flying dragon with the power of blessing. The flying gold feathers are said to give blessings. But rumors are always lying in many ways. These feathers have only healing effects, but no blessings. [Available: Mystery. Draw ]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/dyona_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/dyona_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/dyona_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/dyona_3.png']"
220,Conrad C,"Dragon boasting lethal power. Unlike other dragons, it lacks flying ability, but uses powerful physical ability as a weapon. There is a serious disadvantage of forgetting what you think every 10 seconds. [Available: Draw Mystery]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/conrad_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/conrad_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/conrad_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/conrad_3.png']"
221,Fabregas C,A ferocious magical dragon with the power of vacuum. The power of fierce magical power does not forgive any enemies. The power of magical power that has been blown once has a terrifying ability to pursue the enemy to the end. [Available: Draw Mystery],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/fabregas_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/fabregas_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/fabregas_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/fabregas_3.png']"
222,Firefury C,"An explosive dragon with the power of a fiercely burning flame. You can fight as long as you maintain your composure even in a burning flame. However, the power rapidly weakens in water or cold places. [Available: Draw Mystery]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/firefury_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/firefury_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/firefury_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/firefury_3.png']"
223,Stego Dragon C,"A gem-shaped dragon made up of attractive black jewels. This mysterious jewel has the power to arouse fear in the opponent. However, it has no effect on opponents stronger than himself. [Available: Draw Mystery]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/stego_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/stego_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/stego_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/stego_3.png']"
224,Retentor C,"A specialized dragon that uses the power of the earth freely. One movement causes a variety of perceptual fluctuations. The power is insignificant to a flying dragon, but poses a great threat to a heavy dragon. ","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/retentor_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/retentor_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/retentor_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/retentor_3.png']"
225,Mist Dragon C,A spooky undead dragon. A mist dragon can hide in other objects and control or control objects. The downside of this technology is that it doesn't work at all for beings with strong mental power. [Available: Draw Mystery],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/mist_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/mist_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/mist_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/mist_3.png']"
226,Recruit Dragon C,Singularity dragon with a peculiar growth method. There is always a habit of marking the place where he passed. The act of marking becomes more frequent if nurtured by a kind of stress-relieving method.,"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/rikuru_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/rikuru_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/rikuru_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/rikuru_3.png']"
227,Petra dragon,Fire dragon that burns evil things. A being who performs a sublime mission to defeat evil like the Evil. He is loved by tamers with a high level of skill with a calm and cold personality. [Available: Draw Mystery],"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/petra_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/petra_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/petra_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/petra_3.png']"
228,Crookers C,"A fantasy dragon that often appears in people's nightmares. It is said to be an unfortunate being, but it is also a symbol of Gilmare. In fact, it is said that the Tamers who dreamed of the Crookers often have Triple Max. Draw ]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/crookas_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/crookas_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/crookas_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/crookas_3.png']"
229,Banshee C,"Undead dragon with terrifying power. Horrible sound and creepy appearance. It can be said to be a word symbolizing banshee. Anyone who sees it leads to death, so you do not know if you should be prepared for death when found. ","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/banshee_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/banshee_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/banshee_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/banshee_3.png']"
230,Hollow C,A spirit-transplanted dragon with powerful power. A creature created with the soul of a warrior who led many battles to victory in the past. The burning red eyes are reminiscent of the infinite hatred of the enemy and the painful memories of the past.,"['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/hollow_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/hollow_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/hollow_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/hollow_3.png']"
231,Guess Dragon B,"Mysterious dragon with crystal wings. It looks similar to the Divine Stone, which is called God's Mineral, but its ability is different. You can sometimes get precious crystals when molting. [Available: Draw Mystery]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_3.png']"
232,Guess Dragon A,"Mysterious dragon with crystal wings. It looks similar to the Divine Stone, which is called God's Mineral, but its ability is different. You can sometimes get precious crystals when molting. [Available: Draw Mystery]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_3.png']"
233,Guess Dragon S,"Mysterious dragon with crystal wings. It looks similar to the Divine Stone, which is called God's Mineral, but its ability is different. You can sometimes get precious crystals when molting. [Available: Draw Mystery]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_3.png']"
234,Guess Dragon SS,"Mysterious dragon with crystal wings. It looks similar to the Divine Stone, which is called God's Mineral, but its ability is different. You can sometimes get precious crystals when molting. [Available: Draw Mystery]","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/ges_3.png']"
235,Vera Dragon B,"A dragon infused with the energy of ancient evil. The black horns that grew intimidatingly have the power to calm the magic power. If you look carefully and nurture it, you will get a big anger, so you will get your mind upright!","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_3.png']"
236,Vera Dragon A,"A dragon infused with the energy of ancient evil. The black horns that grew intimidatingly have the power to calm the magic power. If you look carefully and nurture it, you will get a big anger, so you will get your mind upright!","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_3.png']"
237,Vera Dragon S,"A dragon infused with the energy of ancient evil. The black horns that grew intimidatingly have the power to calm the magic power. If you look carefully and nurture it, you will get a big anger, so you will get your mind upright!","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_3.png']"
238,Vera Dragon SS,"A dragon infused with the energy of ancient evil. The black horns that grew intimidatingly have the power to calm the magic power. If you look carefully and nurture it, you will get a big anger, so you will get your mind upright!","['http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_0.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_1.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_2.png', 'http://cdn.highbrow-inc.com/card/dv1/dv1_thumb/vera_3.png']"
